barcode,number_of_affected_variants,product_title,variant_title,sku,shopify_product_id,shopify_variant_id,status,inventory_item_id,recommended_action,priority,review_reason
261952,6,CONTRAST STITCH SWEATSHORT IN ANTHRACITE,SMALL,261952,gid://shopify/Product/9298837963057,gid://shopify/ProductVariant/48139325473073,archived,gid://shopify/InventoryItem/50186065314097,manual business review needed,medium,No active variant in group; choose canonical keeper by business decision.
261952,6,CONTRAST STITCH SWEATSHORT IN ANTHRACITE,MEDIUM,261952,gid://shopify/Product/9298837963057,gid://shopify/ProductVariant/48139325505841,archived,gid://shopify/InventoryItem/50186065346865,remove barcode temporarily,medium,Non-active variant duplicates barcode; remove until unique barcode is assigned.
261952,6,CONTRAST STITCH SWEATSHORT IN ANTHRACITE,LARGE,261952,gid://shopify/Product/9298837963057,gid://shopify/ProductVariant/48139325538609,archived,gid://shopify/InventoryItem/50186065379633,remove barcode temporarily,medium,Non-active variant duplicates barcode; remove until unique barcode is assigned.
261952,6,CONTRAST STITCH SWEATSHORT IN ANTHRACITE,X-LARGE,261952,gid://shopify/Product/9298837963057,gid://shopify/ProductVariant/48139325571377,archived,gid://shopify/InventoryItem/50186065412401,remove barcode temporarily,medium,Non-active variant duplicates barcode; remove until unique barcode is assigned.
261952,6,CONTRAST STITCH SWEATSHORT IN ANTHRACITE,2X-LARGE,261952,gid://shopify/Product/9298837963057,gid://shopify/ProductVariant/48139325604145,archived,gid://shopify/InventoryItem/50186065445169,remove barcode temporarily,medium,Non-active variant duplicates barcode; remove until unique barcode is assigned.
261952,6,CONTRAST STITCH SWEATSHORT IN ANTHRACITE,3X-LARGE,261952,gid://shopify/Product/9298837963057,gid://shopify/ProductVariant/48139325636913,archived,gid://shopify/InventoryItem/50186065477937,remove barcode temporarily,medium,Non-active variant duplicates barcode; remove until unique barcode is assigned.
131982,5,LINEN WIDE CROPPED PANTS IN OAT,SMALL,131982,gid://shopify/Product/8036338630961,gid://shopify/ProductVariant/44111864398129,archived,gid://shopify/InventoryItem/46159722119473,manual business review needed,medium,No active variant in group; choose canonical keeper by business decision.
131982,5,LINEN WIDE CROPPED PANTS IN OAT,MEDIUM,131982,gid://shopify/Product/8036338630961,gid://shopify/ProductVariant/44111864430897,archived,gid://shopify/InventoryItem/46159722152241,remove barcode temporarily,medium,Non-active variant duplicates barcode; remove until unique barcode is assigned.
131982,5,LINEN WIDE CROPPED PANTS IN OAT,LARGE,131982,gid://shopify/Product/8036338630961,gid://shopify/ProductVariant/44111864463665,archived,gid://shopify/InventoryItem/46159722185009,remove barcode temporarily,medium,Non-active variant duplicates barcode; remove until unique barcode is assigned.
131982,5,LINEN WIDE CROPPED PANTS IN OAT,EXTRA - LARGE,131982,gid://shopify/Product/8036338630961,gid://shopify/ProductVariant/44111864496433,archived,gid://shopify/InventoryItem/46159722217777,remove barcode temporarily,medium,Non-active variant duplicates barcode; remove until unique barcode is assigned.
131982,5,LINEN WIDE CROPPED PANTS IN OAT,2X - LARGE,131982,gid://shopify/Product/8036338630961,gid://shopify/ProductVariant/44111864529201,archived,gid://shopify/InventoryItem/46159722250545,remove barcode temporarily,medium,Non-active variant duplicates barcode; remove until unique barcode is assigned.
109002,3,LONGSLEEVE TEE,RUST / EXTRA - SMALL,109002,gid://shopify/Product/10341352636721,gid://shopify/ProductVariant/51589386764593,archived,gid://shopify/InventoryItem/53656834081073,remove barcode temporarily,medium,Non-active variant duplicates barcode; remove until unique barcode is assigned.
109002,3,LONGSLEEVE LITE TEE,RUST / EXTRA - SMALL / Heavyweight,109002,gid://shopify/Product/10341345755441,gid://shopify/ProductVariant/51589243175217,archived,gid://shopify/InventoryItem/53656690655537,remove barcode temporarily,medium,Non-active variant duplicates barcode; remove until unique barcode is assigned.
109002,3,LONGSLEEVE TEE IN RUST,EXTRA - SMALL,109002,gid://shopify/Product/10299235270961,gid://shopify/ProductVariant/51386849329457,active,gid://shopify/InventoryItem/53454322368817,keep barcode on this variant,high,Only active variant in duplicate group.
