barcode,product_title,variant_title,sku,shopify_product_id,shopify_variant_id,status,inventory_item_id
261952,CONTRAST STITCH SWEATSHORT IN ANTHRACITE,SMALL,261952,gid://shopify/Product/9298837963057,gid://shopify/ProductVariant/48139325473073,archived,gid://shopify/InventoryItem/50186065314097
261952,CONTRAST STITCH SWEATSHORT IN ANTHRACITE,MEDIUM,261952,gid://shopify/Product/9298837963057,gid://shopify/ProductVariant/48139325505841,archived,gid://shopify/InventoryItem/50186065346865
261952,CONTRAST STITCH SWEATSHORT IN ANTHRACITE,LARGE,261952,gid://shopify/Product/9298837963057,gid://shopify/ProductVariant/48139325538609,archived,gid://shopify/InventoryItem/50186065379633
261952,CONTRAST STITCH SWEATSHORT IN ANTHRACITE,X-LARGE,261952,gid://shopify/Product/9298837963057,gid://shopify/ProductVariant/48139325571377,archived,gid://shopify/InventoryItem/50186065412401
261952,CONTRAST STITCH SWEATSHORT IN ANTHRACITE,2X-LARGE,261952,gid://shopify/Product/9298837963057,gid://shopify/ProductVariant/48139325604145,archived,gid://shopify/InventoryItem/50186065445169
261952,CONTRAST STITCH SWEATSHORT IN ANTHRACITE,3X-LARGE,261952,gid://shopify/Product/9298837963057,gid://shopify/ProductVariant/48139325636913,archived,gid://shopify/InventoryItem/50186065477937
131982,LINEN WIDE CROPPED PANTS IN OAT,SMALL,131982,gid://shopify/Product/8036338630961,gid://shopify/ProductVariant/44111864398129,archived,gid://shopify/InventoryItem/46159722119473
131982,LINEN WIDE CROPPED PANTS IN OAT,MEDIUM,131982,gid://shopify/Product/8036338630961,gid://shopify/ProductVariant/44111864430897,archived,gid://shopify/InventoryItem/46159722152241
131982,LINEN WIDE CROPPED PANTS IN OAT,LARGE,131982,gid://shopify/Product/8036338630961,gid://shopify/ProductVariant/44111864463665,archived,gid://shopify/InventoryItem/46159722185009
131982,LINEN WIDE CROPPED PANTS IN OAT,EXTRA - LARGE,131982,gid://shopify/Product/8036338630961,gid://shopify/ProductVariant/44111864496433,archived,gid://shopify/InventoryItem/46159722217777
131982,LINEN WIDE CROPPED PANTS IN OAT,2X - LARGE,131982,gid://shopify/Product/8036338630961,gid://shopify/ProductVariant/44111864529201,archived,gid://shopify/InventoryItem/46159722250545
109002,LONGSLEEVE TEE,RUST / EXTRA - SMALL,109002,gid://shopify/Product/10341352636721,gid://shopify/ProductVariant/51589386764593,archived,gid://shopify/InventoryItem/53656834081073
109002,LONGSLEEVE LITE TEE,RUST / EXTRA - SMALL / Heavyweight,109002,gid://shopify/Product/10341345755441,gid://shopify/ProductVariant/51589243175217,archived,gid://shopify/InventoryItem/53656690655537
109002,LONGSLEEVE TEE IN RUST,EXTRA - SMALL,109002,gid://shopify/Product/10299235270961,gid://shopify/ProductVariant/51386849329457,active,gid://shopify/InventoryItem/53454322368817
109003,LONGSLEEVE TEE,RUST / SMALL,109003,gid://shopify/Product/10341352636721,gid://shopify/ProductVariant/51589386862897,archived,gid://shopify/InventoryItem/53656834179377
109003,LONGSLEEVE LITE TEE,RUST / SMALL / Heavyweight,109003,gid://shopify/Product/10341345755441,gid://shopify/ProductVariant/51589243273521,archived,gid://shopify/InventoryItem/53656690753841
109003,LONGSLEEVE TEE IN RUST,SMALL,109003,gid://shopify/Product/10299235270961,gid://shopify/ProductVariant/51386849362225,active,gid://shopify/InventoryItem/53454322401585
109004,LONGSLEEVE TEE,RUST / MEDIUM,109004,gid://shopify/Product/10341352636721,gid://shopify/ProductVariant/51589386830129,archived,gid://shopify/InventoryItem/53656834146609
109004,LONGSLEEVE LITE TEE,RUST / MEDIUM / Heavyweight,109004,gid://shopify/Product/10341345755441,gid://shopify/ProductVariant/51589243240753,archived,gid://shopify/InventoryItem/53656690721073
109004,LONGSLEEVE TEE IN RUST,MEDIUM,109004,gid://shopify/Product/10299235270961,gid://shopify/ProductVariant/51386849394993,active,gid://shopify/InventoryItem/53454322434353
109005,LONGSLEEVE TEE,RUST / LARGE,109005,gid://shopify/Product/10341352636721,gid://shopify/ProductVariant/51589386797361,archived,gid://shopify/InventoryItem/53656834113841
109005,LONGSLEEVE LITE TEE,RUST / LARGE / Heavyweight,109005,gid://shopify/Product/10341345755441,gid://shopify/ProductVariant/51589243207985,archived,gid://shopify/InventoryItem/53656690688305
109005,LONGSLEEVE TEE IN RUST,LARGE,109005,gid://shopify/Product/10299235270961,gid://shopify/ProductVariant/51386849427761,active,gid://shopify/InventoryItem/53454322467121
109006,LONGSLEEVE TEE,RUST / EXTRA - LARGE,109006,gid://shopify/Product/10341352636721,gid://shopify/ProductVariant/51589386731825,archived,gid://shopify/InventoryItem/53656834048305
109006,LONGSLEEVE LITE TEE,RUST / EXTRA - LARGE / Heavyweight,109006,gid://shopify/Product/10341345755441,gid://shopify/ProductVariant/51589243142449,archived,gid://shopify/InventoryItem/53656690622769
109006,LONGSLEEVE TEE IN RUST,EXTRA - LARGE,109006,gid://shopify/Product/10299235270961,gid://shopify/ProductVariant/51386849460529,active,gid://shopify/InventoryItem/53454322499889
109007,LONGSLEEVE TEE,RUST / 2X-LARGE,109007,gid://shopify/Product/10341352636721,gid://shopify/ProductVariant/51589386633521,archived,gid://shopify/InventoryItem/53656833950001
109007,LONGSLEEVE LITE TEE,RUST / 2X-LARGE / Heavyweight,109007,gid://shopify/Product/10341345755441,gid://shopify/ProductVariant/51589243044145,archived,gid://shopify/InventoryItem/53656690524465
109007,LONGSLEEVE TEE IN RUST,2X - LARGE,109007,gid://shopify/Product/10299235270961,gid://shopify/ProductVariant/51386849493297,active,gid://shopify/InventoryItem/53454322532657
109008,LONGSLEEVE TEE,RUST / 3X-LARGE,109008,gid://shopify/Product/10341352636721,gid://shopify/ProductVariant/51589386666289,archived,gid://shopify/InventoryItem/53656833982769
109008,LONGSLEEVE LITE TEE,RUST / 3X-LARGE / Heavyweight,109008,gid://shopify/Product/10341345755441,gid://shopify/ProductVariant/51589243076913,archived,gid://shopify/InventoryItem/53656690557233
109008,LONGSLEEVE TEE IN RUST,3X - LARGE,109008,gid://shopify/Product/10299235270961,gid://shopify/ProductVariant/51386849526065,active,gid://shopify/InventoryItem/53454322565425
109009,LONGSLEEVE TEE,RUST / 4X-LARGE,109009,gid://shopify/Product/10341352636721,gid://shopify/ProductVariant/51589386699057,archived,gid://shopify/InventoryItem/53656834015537
109009,LONGSLEEVE LITE TEE,RUST / 4X-LARGE / Heavyweight,109009,gid://shopify/Product/10341345755441,gid://shopify/ProductVariant/51589243109681,archived,gid://shopify/InventoryItem/53656690590001
109009,LONGSLEEVE TEE IN RUST,4X - LARGE,109009,gid://shopify/Product/10299235270961,gid://shopify/ProductVariant/51386849755441,active,gid://shopify/InventoryItem/53454322794801
110902,CLEE INDUSTRIES SWEATSHORTS (MAROON),SMALL,110902,gid://shopify/Product/10512070345009,gid://shopify/ProductVariant/52311843635505,active,gid://shopify/InventoryItem/54406272680241
110902,CLEE INDUSTRIES SWEATSHORTS (MAROON),MEDIUM,110903,gid://shopify/Product/10512070345009,gid://shopify/ProductVariant/52311843668273,active,gid://shopify/InventoryItem/54406272713009
110902,CUTOFF HOODIE IN WOOD,SMALL,110902,gid://shopify/Product/10456313069873,gid://shopify/ProductVariant/52053236482353,archived,gid://shopify/InventoryItem/54143835668785
144803,LIORA,CAVIAR / LARGE,144803,gid://shopify/Product/10353640276273,gid://shopify/ProductVariant/51702627270961,active,gid://shopify/InventoryItem/53771235754289
144803,LIORA IN CAVIAR,LARGE,144803,gid://shopify/Product/10464847102257,gid://shopify/ProductVariant/52100475945265,active,gid://shopify/InventoryItem/54191284289841
