shopify_variant_id,sku,product_title,variant_title,current_barcode,new_barcode
gid://shopify/ProductVariant/51589171347761,969607,M+ CLASSIC POCKET LITE TEE,GLACIER / 2X - LARGE,969607,
gid://shopify/ProductVariant/51589171380529,969608,M+ CLASSIC POCKET LITE TEE,GLACIER / 3X-LARGE,969608,
gid://shopify/ProductVariant/51589171413297,969609,M+ CLASSIC POCKET LITE TEE,GLACIER / 4X-LARGE,969609,
gid://shopify/ProductVariant/51589171708209,969802,M+ CLASSIC POCKET LITE TEE,OAT / EXTRA - SMALL,969802,
gid://shopify/ProductVariant/51589171839281,969803,M+ CLASSIC POCKET LITE TEE,OAT / SMALL,969803,
gid://shopify/ProductVariant/51589171806513,969804,M+ CLASSIC POCKET LITE TEE,OAT / MEDIUM,969804,
gid://shopify/ProductVariant/51589171773745,969805,M+ CLASSIC POCKET LITE TEE,OAT / LARGE,969805,
gid://shopify/ProductVariant/51589171740977,969806,M+ CLASSIC POCKET LITE TEE,OAT / EXTRA-LARGE,969806,
gid://shopify/ProductVariant/51589171609905,969807,M+ CLASSIC POCKET LITE TEE,OAT / 2X - LARGE,969807,
gid://shopify/ProductVariant/51589171642673,969808,M+ CLASSIC POCKET LITE TEE,OAT / 3X-LARGE,969808,
gid://shopify/ProductVariant/51589171675441,969809,M+ CLASSIC POCKET LITE TEE,OAT / 4X-LARGE,969809,
gid://shopify/ProductVariant/50897003643185,984803,BOX LITE TEE IN CHARCOAL GREY,MEDIUM,984803,
gid://shopify/ProductVariant/50783979602225,990802,"""CITY OF ANGELS"" HOODIE IN WHITE",SMALL,990802,
gid://shopify/ProductVariant/50783979634993,990803,"""CITY OF ANGELS"" HOODIE IN WHITE",MEDIUM,990803,
gid://shopify/ProductVariant/50783979667761,990804,"""CITY OF ANGELS"" HOODIE IN WHITE",LARGE,990804,
gid://shopify/ProductVariant/50783979700529,990805,"""CITY OF ANGELS"" HOODIE IN WHITE",EXTRA - LARGE,990805,
gid://shopify/ProductVariant/50783979733297,990806,"""CITY OF ANGELS"" HOODIE IN WHITE",2X - LARGE,990806,
gid://shopify/ProductVariant/50783979766065,990807,"""CITY OF ANGELS"" HOODIE IN WHITE",3X - LARGE,990807,
gid://shopify/ProductVariant/52053190443313,991102,BOX LITE TEE IN CEMENT GREY,EXTRA - SMALL,991102,
gid://shopify/ProductVariant/52053190476081,991103,BOX LITE TEE IN CEMENT GREY,SMALL,991103,
gid://shopify/ProductVariant/52053190508849,991104,BOX LITE TEE IN CEMENT GREY,MEDIUM,991104,
gid://shopify/ProductVariant/52053190541617,991105,BOX LITE TEE IN CEMENT GREY,LARGE,991105,
gid://shopify/ProductVariant/52053190574385,991106,BOX LITE TEE IN CEMENT GREY,EXTRA - LARGE,991106,
gid://shopify/ProductVariant/52053190607153,991107,BOX LITE TEE IN CEMENT GREY,2X - LARGE,991107,
gid://shopify/ProductVariant/52053190639921,991108,BOX LITE TEE IN CEMENT GREY,3X - LARGE,991108,
